Date,MSCI China ESG Leaders Index Standard (Large+Mid Cap),Return Rate
2019-06-17,"1,421.883",0.001842499
2019-06-18,"1,448.464",0.018694224
2019-06-19,"1,479.068",0.021128589
2019-06-20,"1,504.515",0.017204753
2019-06-21,"1,499.633",-0.0032449
2019-06-24,"1,504.146",0.003009403
2019-06-25,"1,479.704",-0.016249752
2019-06-26,"1,492.204",0.008447635
2019-06-27,"1,510.610",0.012334775
2019-06-28,"1,506.881",-0.002468539
2019-07-01,"1,522.430",0.010318665
2019-07-02,"1,539.096",0.010946973
2019-07-03,"1,532.865",-0.00404848
2019-07-04,"1,532.975",7.1761E-05
2019-07-05,"1,525.719",-0.00473328
2019-07-08,"1,489.149",-0.023969027
2019-07-09,"1,483.858",-0.003553036
2019-07-10,"1,490.040",0.004166167
2019-07-11,"1,491.916",0.001259027
2019-07-12,"1,493.440",0.001021505
2019-07-15,"1,517.136",0.015866724
2019-07-16,"1,524.442",0.004815653
2019-07-17,"1,526.825",0.001563195
2019-07-18,"1,509.642",-0.011254073
2019-07-19,"1,524.134",0.009599627
2019-07-22,"1,513.547",-0.00694624
2019-07-23,"1,527.689",0.009343615
2019-07-24,"1,539.837",0.00795188
2019-07-25,"1,551.716",0.007714453
2019-07-26,"1,547.257",-0.002873593
2019-07-29,"1,542.968",-0.002772002
2019-07-30,"1,537.123",-0.003788154
2019-07-31,"1,520.750",-0.010651718
2019-08-01,"1,500.993",-0.012991616
2019-08-02,"1,453.381",-0.031720334
2019-08-05,"1,397.063",-0.038749647
2019-08-06,"1,397.695",0.000452378
2019-08-07,"1,405.545",0.00561639
2019-08-08,"1,424.325",0.013361365
2019-08-09,"1,406.573",-0.012463448
2019-08-12,"1,410.307",0.002654679
2019-08-13,"1,406.239",-0.002884478
2019-08-14,"1,409.407",0.002252818
2019-08-15,"1,412.284",0.002041284
2019-08-16,"1,434.024",0.015393504
2019-08-19,"1,467.162",0.0231084
2019-08-20,"1,463.024",-0.002820411
2019-08-21,"1,459.922",-0.002120266
2019-08-22,"1,449.924",-0.006848311
2019-08-23,"1,438.249",-0.008052146
2019-08-26,"1,423.108",-0.010527384
2019-08-27,"1,427.569",0.003134688
2019-08-28,"1,419.727",-0.005493255
2019-08-29,"1,438.526",0.013241278
2019-08-30,"1,454.377",0.011018918
2019-09-02,"1,463.268",0.00611327
2019-09-03,"1,448.121",-0.010351487
2019-09-04,"1,480.330",0.022241926
2019-09-05,"1,501.061",0.01400431
2019-09-06,"1,500.737",-0.000215847
2019-09-09,"1,500.553",-0.000122606
2019-09-10,"1,488.200",-0.008232298
2019-09-11,"1,504.871",0.011202123
2019-09-12,"1,519.264",0.009564275
2019-09-13,"1,529.972",0.00704815
2019-09-16,"1,513.963",-0.01046359
2019-09-17,"1,507.608",-0.004197593
2019-09-18,"1,509.812",0.001461918
2019-09-19,"1,502.541",-0.004815831
2019-09-20,"1,504.156",0.001074846
2019-09-23,"1,480.599",-0.015661274
2019-09-24,"1,464.675",-0.010755107
2019-09-25,"1,462.816",-0.001269224
2019-09-26,"1,468.226",0.003698346
2019-09-27,"1,437.850",-0.020688913
2019-09-30,"1,443.720",0.004082484
2019-10-01,"1,438.079",-0.003907267
2019-10-02,"1,433.956",-0.002867019
2019-10-03,"1,447.402",0.009376857
2019-10-04,"1,446.096",-0.000902306
2019-10-07,"1,440.114",-0.004136655
2019-10-08,"1,428.089",-0.008350033
2019-10-09,"1,427.791",-0.00020867
2019-10-10,"1,437.292",0.006654335
2019-10-11,"1,470.622",0.023189442
2019-10-14,"1,476.850",0.004234943
2019-10-15,"1,489.132",0.008316349
