Date,EAFE Standard (Large+Mid Cap),Return Rate,,,
2019-06-17,"5,813.479",-0.002285989,,,
2019-06-18,"5,864.237",0.008731089,,,
2019-06-19,"5,913.598",0.008417293,,,
2019-06-20,"5,978.451",0.010966758,,,
2019-06-21,"5,956.034",-0.003749633,,,
2019-06-24,"5,980.400",0.004090977,,,
2019-06-25,"5,974.936",-0.000913651,,,
2019-06-26,"5,947.191",-0.004643564,,,
2019-06-27,"5,968.388",0.003564204,,,
2019-06-28,"5,995.031",0.004464019,,,
2019-07-01,"6,023.920",0.004818824,,,
2019-07-02,"6,041.087",0.002849805,,,
2019-07-03,"6,067.739",0.004411789,,,
2019-07-04,"6,081.071",0.002197194,,,
2019-07-05,"6,026.273",-0.009011242,,,
2019-07-08,"5,997.224",-0.004820392,,,
2019-07-09,"5,968.325",-0.004818729,,,
2019-07-10,"5,978.793",0.001753926,,,
2019-07-11,"5,987.586",0.001470698,,,
2019-07-12,"5,993.327",0.000958817,,,
2019-07-15,"6,003.063",0.001624473,,,
2019-07-16,"5,992.154",-0.001817239,,,
2019-07-17,"5,981.401",-0.001794513,,,
2019-07-18,"5,946.004",-0.005917844,,,
2019-07-19,"5,985.183",0.006589131,,,
2019-07-22,"5,978.350",-0.001141653,,,
2019-07-23,"5,998.386",0.003351426,,,
2019-07-24,"6,006.350",0.00132769,,,
2019-07-25,"5,986.426",-0.003317156,,,
2019-07-26,"5,973.320",-0.002189286,,,
2019-07-29,"5,970.293",-0.000506753,,,
2019-07-30,"5,927.697",-0.007134658,,,
2019-07-31,"5,918.913",-0.001481857,,,
2019-08-01,"5,910.423",-0.001434385,,,
2019-08-02,"5,815.315",-0.016091572,,,
2019-08-05,"5,718.807",-0.01659549,,,
2019-08-06,"5,680.138",-0.006761725,,,
2019-08-07,"5,708.147",0.004931042,,,
2019-08-08,"5,766.930",0.010298088,,,
2019-08-09,"5,748.814",-0.003141359,,,
2019-08-12,"5,743.426",-0.000937237,,,
2019-08-13,"5,715.493",-0.004863473,,,
2019-08-14,"5,664.504",-0.00892119,,,
2019-08-15,"5,619.483",-0.007947916,,,
2019-08-16,"5,665.210",0.008137225,,,
2019-08-19,"5,719.078",0.009508562,,,
2019-08-20,"5,709.320",-0.001706219,,,
2019-08-21,"5,741.425",0.005623262,,,
2019-08-22,"5,721.511",-0.003468477,,,
2019-08-23,"5,713.768",-0.001353314,,,
2019-08-26,"5,681.432",-0.005659313,,,
2019-08-27,"5,711.360",0.005267686,,,
2019-08-28,"5,699.926",-0.002001975,,,
2019-08-29,"5,730.047",0.005284455,,,
2019-08-30,"5,765.578",0.006200822,,,
2019-09-02,"5,751.531",-0.002436356,,,
2019-09-03,"5,752.908",0.000239415,,,
2019-09-04,"5,815.542",0.010887363,,,
2019-09-05,"5,867.015",0.008850938,,,
2019-09-06,"5,894.100",0.004616487,,,
2019-09-09,"5,896.622",0.000427886,,,
2019-09-10,"5,900.607",0.000675811,,,
2019-09-11,"5,938.555",0.006431203,,,
2019-09-12,"5,966.683",0.004736506,,,
2019-09-13,"6,011.503",0.007511711,,,
2019-09-16,"5,957.282",-0.009019541,,,
2019-09-17,"5,972.171",0.002499294,,,
2019-09-18,"5,966.198",-0.001000139,,,
2019-09-19,"5,993.569",0.004587679,,,
2019-09-20,"5,990.351",-0.000536909,,,
2019-09-23,"5,963.401",-0.004498902,,,
2019-09-24,"5,969.109",0.000957172,,,
